Average - t,,Energies,,,,
seqNum,isOcc,pt tracks Occ,pt tracks No Occ,bbox No Occ,boox Occ,initialization
,2,,,,,
86,-1,0.5856171524,0.5856171524,0.585622258,0.585622258,0.45826901
,0,3.94448671,3.94448671,3.94448671,3.94448671,3.94448671
87,0,5.9858520036,5.9858520036,5.9858520036,5.9858520036,5.9462822442
,2,,,,,
91,0,,,,,
,1,,,,,
,2,,,,,
93,0,3.4038065248,3.4189580213,3.45073643,3.5404425829,3.4451821389
,1,6.4748142032,6.456764322,6.1323163032,6.2091751778,6.4395719565
,2,3.522376557,3.5217638709,3.861140386,3.9089689518,6.4460574026
Total Result,,4.2025670328,4.1849734151,4.7112922822,4.5742532557,4.2154642232
